m,n,x1,b391,b392,b393,b394,b395,b396,b397,b398,b399,b400,b401,b402,b403,b404,b405,b406,b407,b408,b409,b410,b411,b412,b413,b414,b415,b416,b417,b418,b419,b420,b421,b422,b423,b424,b425,b426,b427,b428,b429,b430,b431,b432,b433,b434,b435,b436,b437,b438,b439,b440,b441,b442,b443,b444,b445,b446,b447,b448
5.806907725,-84.82778803,192.7011166,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
54.81803066,-10.14960506,-162.7612634,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,0.5,1.5
-59.15516271,-41.29785626,-129.3014788,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
64.20843286,-88.51540263,32.55048529,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
-27.41135519,-32.49671451,59.65628398,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5
36.85271477,-48.26449072,-30.99539482,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,0.5,1.5,0.5,1.5
-89.99186387,-76.86647237,-23.29931435,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
-38.41656555,-92.08083863,31.53231028,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
-58.67691322,-62.2065683,171.5001653,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
-78.04685777,-90.48680208,-5.84034037,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
-59.26235349,-92.09693355,-50.28762908,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
47.49370593,-70.31645119,-97.34517472,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
-48.37909429,-2.03401004,176.1439138,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
-83.86018015,-14.1027829,-147.4527556,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
78.03044643,-65.9146965,125.3549202,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
55.69182589,-40.70026618,158.0768417,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
55.22749313,-35.99699063,59.82749119,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
65.36471767,-12.99458144,184.9348162,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
8.625293189,-56.89894051,25.36327308,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
-13.1467685,-42.34987487,11.3509221,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5
-13.54144642,-45.92207697,102.0818541,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5
-86.99711832,-24.04027741,11.98571753,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,0.5,1.5,0.5,1.5
43.80452493,-26.9323418,-41.56849382,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,0.5,1.5,0.5,1.5
30.12387509,-20.7040805,23.17092573,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
-14.94703933,-65.73832849,115.5931837,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
-92.64261562,-7.308212512,165.3892158,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
79.23603123,-46.72262871,114.0545078,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
-94.6298146,-87.24611948,-177.9366957,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
-54.93249716,-99.74058239,84.76962415,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
65.01198668,-3.147481024,44.95524887,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
-25.65732634,-44.02265134,64.9858746,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5
-25.68919772,-99.09128747,93.70561624,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5
-76.70794171,-52.14390166,178.9825828,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,0.5,1.5
59.117937,-27.36912556,-42.13111603,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
53.43284677,-32.93941295,-93.4616005,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
-95.43890738,-75.01761349,-8.255815572,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
25.61079497,-25.37100337,163.5488033,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
-14.48180101,-87.66216104,150.4688463,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5
15.69211897,-54.18759932,161.0208534,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
-24.26970097,-47.12500222,29.33346819,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
23.47950311,-19.11329553,-29.7921084,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
-66.58637943,-83.20861841,168.5725444,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
41.72436226,-4.696097395,-137.8334306,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,0.5,1.5
34.50309948,-59.83898259,196.1314701,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
